GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jabberpoint,com.jabberpoint.command,NewCommand,0,164,0,0,0,42,0,2,0,2
jabberpoint,com.jabberpoint.command,OpenCommand,40,0,2,0,14,0,3,0,2,0
jabberpoint,com.jabberpoint.command,ExitCommand,20,31,4,2,5,13,3,4,0,4
jabberpoint,com.jabberpoint.command,NextSlideCommand,0,10,0,0,0,5,0,2,0,2
jabberpoint,com.jabberpoint.command,AddShapeCommand,7,63,0,2,2,17,0,3,0,2
jabberpoint,com.jabberpoint.command,SaveCommand,58,0,6,0,20,0,5,0,2,0
jabberpoint,com.jabberpoint.command,AddTextCommand,0,56,0,2,0,16,0,3,0,2
jabberpoint,com.jabberpoint.command,GotoCommand,0,15,0,0,0,6,0,2,0,2
jabberpoint,com.jabberpoint.command,PrevSlideCommand,0,10,0,0,0,5,0,2,0,2
jabberpoint,com.jabberpoint.command,AddImageCommand,7,54,0,2,2,15,0,3,0,2
jabberpoint,com.jabberpoint.command,AddSlideCommand,0,30,0,0,0,9,0,2,0,2
jabberpoint,com.jabberpoint.composite,Presentation,9,171,0,10,4,53,1,25,1,20
jabberpoint,com.jabberpoint.composite,Slide,48,104,4,6,8,29,5,14,2,12
jabberpoint,com.jabberpoint.view,SlideViewerComponent,173,0,4,0,37,0,8,0,6,0
jabberpoint,com.jabberpoint.factory,ShapeDrawer,0,19,0,0,0,6,0,3,0,3
jabberpoint,com.jabberpoint.factory,TextDrawer,0,34,0,0,0,8,0,3,0,3
jabberpoint,com.jabberpoint.factory,BitmapDrawer,0,19,0,0,0,6,0,3,0,3
jabberpoint,com.jabberpoint.factory,DrawerFactory,3,41,0,6,1,7,1,4,1,1
jabberpoint,com.jabberpoint.composite.items,TextItem,13,95,0,4,3,20,2,8,2,6
jabberpoint,com.jabberpoint.composite.items,ShapeItem,37,181,7,29,5,38,8,20,1,8
jabberpoint,com.jabberpoint.composite.items,SlideItem,6,59,0,4,2,18,2,7,2,5
jabberpoint,com.jabberpoint.composite.items,BitmapItem,7,186,3,17,1,43,3,14,0,7
jabberpoint,com.jabberpoint.service.swing,SwingFileService,70,0,4,0,17,0,5,0,3,0
jabberpoint,com.jabberpoint.service.swing,SwingDialogService,29,0,2,0,8,0,5,0,4,0
jabberpoint,com.jabberpoint.util,Position,16,34,0,0,4,12,4,6,4,6
jabberpoint,com.jabberpoint.util,XMLAccessor,52,409,11,33,10,92,10,19,0,6
jabberpoint,com.jabberpoint.util,DemoPresentation,3,383,0,0,1,92,1,1,1,1
jabberpoint,com.jabberpoint,JabberPoint,462,0,20,0,110,0,22,0,12,0
jabberpoint,com.jabberpoint,JabberPoint.new KeyAdapter() {...},45,0,4,0,6,0,5,0,2,0
jabberpoint,com.jabberpoint.service,PositionDialog,215,0,8,0,42,0,8,0,4,0
